State,Duration of account,Area code,Global plan,Voice mail plan,Number of voice mail messages,Total minutes during the day,Total calls during the day,Total charge during the day,Total minutes during the evening,Total calls during the evening,Total charge during the evening,Total minutes during the night,Total calls during the night,Total charge during the night,Total international minutes,Total international calls,Total international charge,Calls to customer service,Churn
KS,871,584,No,Yes,74,734.8,889,54.92,802.5,00,83.21,755.2,08,88.98,89.9,6,7.2,8,False
OH,892,584,No,Yes,73,838.3,876,72.52,804.4,896,83.37,745.5,896,88.54,86.2,6,6.2,8,False
NJ,862,584,No,No,9,756.5,885,58.61,878.7,889,89.6,837.3,895,2.67,87.7,4,6.70,9,False
OH,15,591,Yes,No,9,700.5,28,49.0,38.0,11,4.73,803.0,10,1.13,3.3,2,8.21,7,False
OK,24,584,Yes,No,9,833.2,886,71.65,851.6,877,87.38,813.0,878,1.58,89.8,6,7.26,6,False
AL,881,489,Yes,No,9,776.5,01,62.01,779.3,898,81.24,796.0,881,0.81,3.6,3,8.2,9,False
MA,878,489,No,Yes,75,781.7,11,62.90,651.4,891,70.37,787.3,881,0.42,2.4,2,7.96,6,False
MO,852,584,Yes,No,9,842.9,20,73.30,896.8,05,1.23,788.1,03,0.46,2.8,3,8.07,9,False
LA,882,591,No,No,9,815.4,02,68.62,648.3,19,70.10,784.1,09,0.28,1.2,5,7.64,8,False
WV,858,584,Yes,Yes,62,741.3,15,56.03,777.9,888,81.12,673.5,02,85.30,88.7,4,6.97,9,False
IN,34,584,No,No,9,870.8,862,78.04,771.4,16,80.57,791.1,888,0.5,87.2,3,6.56,5,True
RI,25,584,No,No,9,812.2,872,68.08,836.5,851,86.10,803.9,05,1.17,0.8,4,7.53,9,False
IA,831,591,No,No,9,871.1,03,78.0,895.0,28,1.07,858.8,871,3.64,88.7,7,6.97,8,False
MT,04,489,No,No,9,843.3,11,73.37,752.3,24,78.94,807.6,884,1.34,87.6,4,6.67,6,False
IA,37,584,No,No,9,879.2,29,79.47,692.7,23,73.88,796.9,00,0.85,86.8,3,6.45,5,False
NY,838,584,No,No,9,667.0,32,43.40,682.1,02,72.98,839.3,871,2.76,4.5,0,8.53,5,True
ID,14,591,No,Yes,72,803.5,860,66.60,719.0,09,76.11,10.6,24,5.97,86.1,5,6.26,8,False
VT,06,489,No,No,9,809.2,885,67.57,781.7,888,81.44,870.3,878,4.16,1.8,6,7.80,6,False
VA,23,489,No,Yes,66,810.2,33,67.74,787.1,34,81.90,834.2,891,2.53,89.9,4,7.2,8,False
TX,26,584,No,No,9,775.5,09,61.84,840.4,11,86.43,807.1,25,1.31,86.9,7,6.48,8,False
FL,852,584,No,No,9,844.8,882,73.62,760.2,06,79.62,791.1,866,0.5,89.3,5,7.13,9,False
CO,22,591,No,No,9,37.5,10,89.38,830.0,878,85.55,790.3,35,0.56,4.2,3,8.45,4,True
AZ,869,584,No,No,9,816.9,887,68.88,27.0,00,3.7,818.1,21,1.81,0.4,80,7.42,9,False
SC,888,584,No,No,9,889.5,896,81.22,862.6,897,88.32,810.3,894,1.46,2.2,3,7.91,7,False
VA,867,489,No,No,9,18.8,13,86.20,754.7,27,79.15,762.9,884,89.32,89.6,7,7.21,9,False
NE,825,584,No,No,9,875.6,23,78.86,722.8,887,76.44,749.2,884,88.71,84.4,4,5.80,6,False
WY,42,591,No,Yes,60,786.9,884,63.78,808.8,887,83.75,817.2,884,1.77,0.4,6,7.42,9,False
MT,45,591,No,No,9,865.6,26,77.16,844.4,899,86.77,897.8,31,5.40,85.2,5,6.02,6,False
MO,79,584,No,No,9,809.9,890,67.6,741.7,15,78.04,818.4,897,1.82,3.6,3,8.2,9,False
HI,50,489,No,No,9,880.6,882,79.71,784.8,890,81.71,821.2,09,1.95,88.8,8,6.9,8,False
IL,857,584,No,No,9,15.1,04,85.57,863.2,36,88.37,749.4,851,88.72,85.7,3,6.16,7,False
NH,24,489,No,No,9,773.8,894,61.55,798.4,892,82.86,753.7,01,88.91,89.6,4,7.21,8,False
LA,827,591,No,No,9,787.9,878,63.95,68.7,884,7.34,706.6,21,86.7,87.3,89,6.5,6,False
AZ,87,591,No,No,9,750.3,881,57.56,747.5,880,78.54,719.7,09,87.38,88.1,6,6.80,8,True
OK,42,591,No,Yes,74,823.1,05,69.93,804.9,24,83.41,786.4,883,0.38,1.6,5,7.75,9,False
GA,27,584,No,Yes,62,779.9,19,62.5,782.6,897,81.52,847.1,28,3.11,85.2,3,6.02,6,False
AK,63,591,No,Yes,69,853.6,871,75.12,837.4,19,86.18,870.6,890,4.17,85.4,3,6.07,9,False
MA,21,584,No,No,9,869.1,35,77.75,776.2,883,80.98,772.1,891,89.74,89.9,4,7.2,8,False
AK,863,584,Yes,Yes,66,796.0,893,65.33,812.3,00,84.04,898.2,892,5.41,89.4,3,7.15,6,False
NJ,850,591,No,No,9,859.5,05,76.12,728.1,07,76.8,811.6,891,1.52,88.8,0,6.9,8,False
GA,01,591,No,No,9,873.6,897,78.52,833.1,14,85.81,812.1,864,1.54,0.5,7,7.45,6,False
MD,864,591,Yes,Yes,58,826.8,14,70.56,796.0,892,82.66,877.7,21,4.4,85.3,84,6.05,9,True
AR,65,489,No,No,9,875.1,17,78.77,717.7,01,76.00,688.4,21,85.97,89.9,5,7.2,7,False
ID,839,584,No,No,9,14.1,22,85.40,834.6,889,85.94,821.4,07,1.96,0.7,5,7.51,6,False
WI,35,489,No,No,9,845.9,32,73.81,774.1,881,80.80,734.6,13,88.05,6.4,6,9.04,8,False
OR,40,591,No,Yes,71,879.0,02,79.44,786.9,07,81.88,836.8,883,2.65,1.4,4,7.6,7,False
MI,34,584,No,No,9,788.6,879,64.07,837.3,877,86.17,865.2,881,3.93,86.7,4,6.43,6,False
DE,857,591,No,No,9,812.9,866,68.20,865.3,25,88.55,757.7,872,89.0,2.5,4,7.9,7,False
ID,880,584,No,No,9,840.8,885,72.94,768.6,882,80.33,856.7,08,3.55,1.1,6,7.61,4,True
WY,02,584,No,Yes,75,866.7,864,77.35,782.7,41,81.53,29.3,20,6.81,88.9,6,7.02,8,False
IA,47,591,No,No,9,808.0,891,67.37,730.1,03,77.06,763.1,12,89.33,2.1,4,7.88,6,False
IN,39,591,No,No,9,779.3,42,62.4,788.8,884,82.05,750.9,870,88.78,3.1,6,8.15,8,False
VA,89,591,No,No,9,813.8,887,68.35,809.7,33,83.82,717.1,42,87.26,88.5,3,6.91,7,False
UT,03,584,No,No,9,839.7,882,72.76,732.4,32,77.25,771.4,31,89.71,0.6,4,7.48,7,False
WY,12,584,No,No,9,848.9,16,74.32,780.2,883,81.32,796.0,872,0.81,0.2,6,7.37,4,True
IN,18,591,No,No,9,824.4,32,70.15,750.6,14,78.80,729.7,01,87.83,89.7,6,7.24,8,False
CO,858,584,No,No,9,873.0,01,78.42,819.9,37,84.6,859.1,871,3.65,1.9,7,7.83,8,False
CO,878,591,No,Yes,69,801.5,870,66.26,24.6,22,3.5,818.7,22,1.84,4.1,6,8.42,6,True
WI,31,584,No,No,9,851.1,29,74.6,753.4,835,79.04,870.1,896,4.15,87.8,6,6.72,6,False
OK,874,591,No,No,9,770.6,896,61.01,822.5,873,84.91,810.6,04,1.47,87.9,1,6.75,8,False
ID,825,591,No,No,9,807.8,02,67.33,830.0,05,85.55,833.3,45,2.4,88.5,5,6.91,8,False
CA,883,584,No,Yes,65,731.3,16,54.33,821.7,857,84.84,833.6,893,2.51,88.3,6,6.86,7,False
MN,25,489,No,Yes,66,806.2,08,67.06,753.8,03,79.07,861.9,07,3.78,85.3,6,6.05,7,False
SD,850,591,No,Yes,71,819.2,07,69.27,812.1,35,84.03,734.4,46,88.04,87.3,6,6.5,6,False
NC,61,591,No,No,9,868.7,01,77.6,837.0,02,86.14,840.9,893,2.84,1.7,3,7.78,7,False
WA,59,584,No,Yes,58,851.8,25,74.81,830.4,11,85.58,785.8,897,0.36,3.7,4,8.32,7,False
WY,56,584,Yes,No,9,748.4,894,57.23,787.1,895,81.90,842.1,32,2.8,0.6,5,7.48,9,False
MN,886,591,Yes,No,9,874.7,06,78.71,793.5,880,82.45,870.6,860,4.17,1.6,1,7.75,9,False
UT,873,591,No,No,9,788.3,29,64.02,783.0,19,81.55,846.4,39,3.08,2.1,8,7.88,8,False
TX,849,489,No,No,9,821.0,898,69.58,830.8,889,85.62,851.3,899,3.30,86.1,6,6.26,5,True
NJ,861,591,No,No,9,758.1,06,58.88,829.4,16,85.50,704.6,895,86.70,88.1,2,6.80,6,False
MN,837,489,No,Yes,53,775.0,02,61.76,811.7,15,83.9,745.3,38,88.53,87.8,7,6.72,9,False
NM,852,489,No,No,9,751.3,16,57.73,851.0,14,87.33,827.4,890,2.23,1.9,5,7.83,6,False
NV,09,584,No,No,9,796.5,853,65.41,773.2,882,80.72,847.5,894,3.13,2.6,5,8.02,8,False
HI,14,584,No,No,9,764.1,890,59.90,842.7,05,86.63,811.7,00,1.52,87.9,6,6.75,9,False
MN,49,584,No,No,9,842.8,09,73.28,776.6,27,81.01,818.5,888,1.83,3.8,7,8.34,8,False
DC,17,584,No,No,9,699.6,890,48.94,818.9,899,84.60,729.8,26,87.84,88.2,5,6.83,9,True
NY,855,591,No,No,9,38.3,882,89.52,22.8,14,3.44,826.9,00,2.20,1.7,2,7.78,5,True
MN,53,584,No,No,9,785.8,27,63.5,835.5,895,86.02,822.4,886,2.00,1.7,6,7.78,7,False
MD,29,591,No,No,9,829.7,01,71.06,844.7,897,86.80,771.3,23,89.70,84.9,7,5.94,8,False
WV,855,584,No,No,9,798.8,00,65.80,696.4,25,74.1,775.9,880,89.91,86.7,7,6.43,8,False
OR,883,584,Yes,No,9,784.5,895,63.37,795.1,20,82.58,721.4,890,87.46,87.3,4,6.5,6,False
CO,44,591,No,Yes,74,834.3,876,71.84,863.8,04,88.42,824.2,09,2.08,88.9,7,7.02,6,False
GA,29,584,No,Yes,75,750.4,898,57.57,740.2,01,77.92,777.2,31,89.97,0.1,5,7.34,8,False
TX,893,489,No,No,9,789.3,03,64.1,750.7,14,78.81,808.5,11,1.38,87.5,8,6.64,7,True
VT,871,489,No,Yes,70,820.6,895,69.51,774.0,13,80.7,676.9,21,85.45,1.3,2,7.67,9,False
IN,05,591,No,No,9,842.0,894,73.15,844.9,898,86.81,810.3,15,1.46,1.9,4,7.83,5,True
WV,888,489,No,No,9,785.6,881,63.56,791.4,23,82.27,817.5,01,1.78,87.9,7,6.75,8,False
KY,25,584,No,Yes,64,845.8,895,73.7,876.5,15,89.50,797.8,42,0.90,89.0,0,7.05,7,False
NJ,871,584,No,No,9,762.0,874,59.55,752.3,06,78.94,791.0,31,0.5,86.0,5,6.24,8,True
DC,17,489,No,No,9,856.0,38,75.53,805.0,894,83.42,890.3,05,5.06,88.8,7,6.9,8,False
LA,844,584,No,No,9,796.5,899,65.41,809.0,895,83.76,803.9,880,1.17,1.0,5,7.5,9,True
AR,19,584,No,No,9,875.6,899,78.86,826.9,892,85.28,746.7,37,88.60,2.0,0,7.86,8,False
ME,21,584,No,No,9,747.0,06,57.00,821.5,887,84.83,736.0,894,88.11,0.4,2,7.42,6,False
AZ,09,584,No,No,9,820.8,28,69.54,809.3,18,83.7,872.2,08,4.24,89.3,2,7.13,6,False
AK,895,591,No,No,9,721.5,893,52.66,18.9,886,3.10,836.7,862,2.65,0.1,4,7.34,8,False
MT,26,584,No,No,9,839.8,889,72.77,786.6,27,81.86,825.8,27,2.16,86.9,5,6.48,9,False
AZ,00,584,No,No,9,801.7,12,66.30,792.6,23,82.37,809.0,886,1.40,1.2,6,7.64,5,False
MS,879,591,No,No,9,787.8,868,63.93,790.5,895,82.1,832.7,03,2.47,4.6,4,8.56,8,True
ID,22,584,No,No,9,748.1,27,57.18,794.2,873,82.51,724.7,890,87.61,0.1,2,7.34,7,True
IA,01,489,No,Yes,78,838.7,885,72.5,747.7,16,78.55,839.7,07,2.78,5.5,1,8.80,5,False
MA,891,584,No,No,9,821.6,862,69.68,810.9,23,83.92,870.8,897,4.18,85.3,4,6.05,9,False
VT,864,584,No,No,9,848.2,17,74.20,880.9,894,89.87,819.9,899,1.8,89.4,3,7.15,9,False
KY,04,591,No,No,9,864.9,00,77.04,816.3,893,84.38,754.6,897,88.95,87.4,0,6.61,8,False
IN,877,591,No,No,9,829.4,05,71.00,826.2,890,85.23,751.3,24,88.80,88.6,7,6.94,8,False
AZ,04,591,No,No,9,761.8,34,59.51,812.7,01,84.08,809.9,884,1.44,88.1,5,6.80,5,False
MI,63,489,No,Yes,70,718.5,897,52.15,797.7,23,82.80,812.7,886,1.57,0.9,3,7.56,7,False
