CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
0001,Male,24,25,57
0002,Male,22,26,78
0003,Female,23,27,34
0004,Female,21,28,82
0005,Female,29,29,55
0006,Female,20,30,74
0007,Female,34,31,35
0008,Female,25,32,91
0009,Male,61,33,28
0010,Female,27,34,67
0011,Male,64,35,39
0012,Female,38,36,96
0013,Female,55,37,42
0014,Female,28,38,72
0015,Male,40,39,48
0016,Male,26,40,83
0017,Female,39,41,60
0018,Male,23,42,69
0019,Male,49,43,53
0020,Female,32,44,95
0021,Male,30,45,58
0022,Male,29,46,68
0023,Female,43,47,30
0024,Male,35,48,68
0025,Female,51,49,41
0026,Male,31,50,79
0027,Female,42,51,59
0028,Male,37,52,64
0029,Female,45,53,58
0030,Female,26,54,84
0031,Male,57,55,29
0032,Female,24,56,68
0033,Male,50,57,29
0034,Male,21,58,89
0035,Female,46,59,40
0036,Female,25,60,78
0037,Female,47,61,44
0038,Female,33,62,70
0039,Female,41,63,51
0040,Female,22,64,72
0041,Female,62,65,60
0042,Male,27,66,89
0043,Male,45,67,63
0044,Female,36,68,58
0045,Female,52,69,53
0046,Female,29,70,62
0047,Female,55,71,52
0048,Female,30,72,44
0049,Female,34,73,49
0050,Female,35,74,49
0051,Female,54,75,57
0052,Male,38,76,65
0053,Female,36,77,59
0054,Male,56,78,65
0055,Female,53,79,50
0056,Male,44,80,46
0057,Female,48,81,55
0058,Male,66,82,51
0059,Female,31,83,56
0060,Male,50,84,51
0061,Male,67,85,61
0062,Male,24,86,60
0063,Female,64,87,57
0064,Female,51,88,64
0065,Male,60,89,56
0066,Male,23,90,64
0067,Female,48,91,55
0068,Female,65,92,53
0069,Male,22,93,64
0070,Female,37,94,52
0071,Male,67,95,60
0072,Female,52,96,47
0073,Female,57,97,54
0074,Female,57,98,61
0075,Male,56,99,52
0076,Male,29,100,59
0077,Female,50,101,58
0078,Male,43,102,53
0079,Female,28,103,57
0080,Female,54,104,47
0081,Male,52,105,56
0082,Male,41,106,60
0083,Male,64,107,46
0084,Female,51,108,49
0085,Female,26,109,62
0086,Male,45,110,51
0087,Female,52,111,63
0088,Female,27,112,60
0089,Female,39,113,65
0090,Female,55,114,51
0091,Female,65,115,60
0092,Male,23,116,46
0093,Male,45,117,54
0094,Female,45,118,45
0095,Female,37,119,47
0096,Male,29,120,57
0097,Female,52,121,52
0098,Female,32,122,55
0099,Male,45,123,47
0100,Male,25,124,54
0101,Female,28,125,46
0102,Female,54,126,53
0103,Male,64,127,64
0104,Male,31,128,60
0105,Male,54,129,61
0106,Female,26,130,47
0107,Female,63,131,55
0108,Male,51,132,51
0109,Male,65,133,48
0110,Male,63,134,53
0111,Male,62,135,57
0112,Female,24,136,59
0113,Female,43,137,47
0114,Male,24,138,51
0115,Female,23,139,53
0116,Female,24,140,55
0117,Female,60,141,48
0118,Female,54,142,64
0119,Female,56,143,48
0120,Female,55,144,62
0121,Male,32,145,61
0122,Female,43,146,45
0123,Female,45,147,63
0124,Male,44,148,96
0125,Female,28,149,34
0126,Female,36,150,82
0127,Male,48,151,40
0128,Male,45,152,100
0129,Male,56,153,16
0130,Male,43,154,80
0131,Male,52,155,14
0132,Male,44,156,80
0133,Female,30,157,39
0134,Female,36,158,76
0135,Male,25,159,10
0136,Female,34,160,93
0137,Female,49,161,12
0138,Male,37,162,78
0139,Male,24,163,15
0140,Female,40,164,77
0141,Female,52,165,10
0142,Male,37,166,98
0143,Female,33,167,45
0144,Female,37,168,92
0145,Male,30,169,17
0146,Male,33,170,102
0147,Male,53,171,41
0148,Female,37,172,79
0149,Female,39,173,27
0150,Male,39,174,95
0151,Male,48,175,22
0152,Male,44,176,93
0153,Female,49,177,25
0154,Female,43,178,81
0155,Female,52,179,21
0156,Female,32,180,94
0157,Male,42,181,6
0158,Female,35,182,83
0159,Male,39,183,6
0160,Female,35,184,78
0161,Female,51,185,40
0162,Female,34,186,88
0163,Male,24,187,10
0164,Female,36,188,98
0165,Male,55,189,31
0166,Female,41,190,80
0167,Male,47,191,25
0168,Female,38,192,100
0169,Female,41,193,32
0170,Male,37,194,68
0171,Male,45,195,18
0172,Male,33,196,80
0173,Male,41,197,15
0174,Male,41,198,97
0175,Female,57,199,18
0176,Female,35,200,91
0177,Male,63,201,20
0178,Male,32,202,74
0179,Male,64,203,19
0180,Male,40,204,95
0181,Female,42,205,37
0182,Female,37,206,91
0183,Male,46,98,15
0184,Female,29,98,88
0185,Female,41,99,39
0186,Male,20,19,92
0187,Female,54,10,14
0188,Male,14,16,78
0189,Female,54,123,17
0190,Female,36,133,85
0191,Female,34,153,23
0192,Female,32,13,69
0193,Male,33,123,8
0194,Female,38,113,91
0195,Female,47,120,16
0196,Female,35,120,79
0197,Female,45,126,28
0198,Male,32,126,74
0199,Male,16,126,74
0200,Male,15,106,34
